res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
19100.2745272079,19100.2745272079,19100.2745272079,37482.35956843476,37482.35956843476,37482.35956843476
19200.174427092556,19200.174427092556,19200.174427092556,41309.15914351979,41309.15914351979,41309.15914351979
19299.7750366195,19299.7750366195,19299.7750366195,41329.36024326952,41329.36024326952,41329.36024326952
19398.878835973876,19398.878835973876,19398.878835973876,41330.03609022964,41330.03609022964,41330.03609022964
19497.291268218112,19497.291268218112,19497.291268218112,41330.239574729174,41330.239574729174,41330.239574729174
19594.82188346845,19594.82188346845,19594.82188346845,41330.48760907567,41330.48760907567,41330.48760907567
19691.285442270946,19691.285442270946,19691.285442270946,41330.81413331709,41330.81413331709,41330.81413331709
19786.5029675053,19786.5029675053,19786.5029675053,41331.2447571019,41331.2447571019,41331.2447571019
19880.302734848956,19880.302734848956,19880.302734848956,41331.81268307092,41331.81268307092,41331.81268307092
19972.52119266868,19972.52119266868,19972.52119266868,41332.56167511971,41332.56167511971,41332.56167511971
20063.003803157666,20063.003803157666,20063.003803157666,41333.54943484256,41333.54943484256,41333.54943484256
20151.605797586024,20151.605797586024,20151.605797586024,41334.85203285497,41334.85203285497,41334.85203285497
20238.192839663563,20238.192839663563,20238.192839663563,41336.569742363165,41336.569742363165,41336.569742363165
20322.641592206182,20322.641592206182,20322.641592206182,41338.83471487101,41338.83471487101,41338.83471487101
20404.840183531414,20404.840183531414,20404.840183531414,41341.82107202747,41341.82107202747,41341.82107202747
20484.688571263232,20484.688571263232,20484.688571263232,41345.75816072802,41345.75816072802,41345.75816072802
20562.098802482036,20562.098802482036,20562.098802482036,41350.94793963483,41350.94793963483,41350.94793963483
20636.99517039153,20636.99517039153,20636.99517039153,41357.787744256144,41357.787744256144,41357.787744256144
20709.314268871658,20709.314268871658,20709.314268871658,41366.800024009055,41366.800024009055,41366.800024009055
20779.0049474278,20779.0049474278,20779.0049474278,41378.67106420975,41378.67106420975,41378.67106420975
20846.0281701146,20846.0281701146,20846.0281701146,41394.30119561606,41394.30119561606,41394.30119561606
20910.35678299344,20910.35678299344,20910.35678299344,41414.869531778066,41414.869531778066,41414.869531778066
20971.975195563653,20971.975195563653,20971.975195563653,41441.91680087411,41441.91680087411,41441.91680087411
21030.878982378068,21030.878982378068,21030.878982378068,41477.45022777966,41477.45022777966,41477.45022777966
21087.07441170614,21087.07441170614,21087.07441170614,41524.074432281166,41524.074432281166,41524.074432281166
21140.577908636886,21140.577908636886,21140.577908636886,41585.15150966628,41585.15150966628,41585.15150966628
21191.41546041588,21191.41546041588,21191.41546041588,41664.99112603481,41664.99112603481,41664.99112603481
21239.621972085697,21239.621972085697,21239.621972085697,41769.066448041056,41769.066448041056,41769.066448041056
21285.240580648173,21285.240580648173,21285.240580648173,41904.2423620084,41904.2423620084,41904.2423620084
21328.321935994292,21328.321935994292,21328.321935994292,42078.986544212625,42078.986544212625,42078.986544212625
21368.92345675929,21368.92345675929,21368.92345675929,42303.50926423901,42303.50926423901,42303.50926423901
21407.108569063595,21407.108569063595,21407.108569063595,42589.74328816365,42589.74328816365,42589.74328816365
21442.94593580538,21442.94593580538,21442.94593580538,42951.033893381406,42951.033893381406,42951.033893381406
21476.508683786902,21476.508683786902,21476.508683786902,43401.372704685426,43401.372704685426,43401.372704685426
21507.873635497363,21507.873635497363,21507.873635497363,43954.00452869813,43954.00452869813,43954.00452869813
21537.12055185188,21537.12055185188,21537.12055185188,44619.307423934006,44619.307423934006,44619.307423934006
21564.33139161252,21564.33139161252,21564.33139161252,45402.04185182989,45402.04185182989,45402.04185182989
21589.589592606433,21589.589592606433,21589.589592606433,46298.39986983163,46298.39986983163,46298.39986983163
21612.979379221808,21612.979379221808,21612.979379221808,47293.677356545486,47293.677356545486,47293.677356545486
21634.585100016968,21634.585100016968,21634.585100016968,48361.620662593,48361.620662593,48361.620662593
21654.49059863462,21654.49059863462,21654.49059863462,49466.27993773447,49466.27993773447,49466.27993773447
21672.778620584068,21672.778620584068,21672.778620584068,50566.41839359051,50566.41839359051,50566.41839359051
21689.530257848928,21689.530257848928,21689.530257848928,51621.46398330054,51621.46398330054,51621.46398330054
21704.824432708323,21704.824432708323,21704.824432708323,52597.261749501115,52597.261749501115,52597.261749501115
21718.737421632533,21718.737421632533,21718.737421632533,53469.982307777886,53469.982307777886,53469.982307777886
21731.34241963818,21731.34241963818,21731.34241963818,54227.39662695406,54227.39662695406,54227.39662695406
21742.70914506913,21742.70914506913,21742.70914506913,54867.775317607535,54867.775317607535,54867.775317607535
21752.903484411323,21752.903484411323,21752.903484411323,55397.340590332475,55397.340590332475,55397.340590332475
21761.987176456838,21761.987176456838,21761.987176456838,55827.30177282175,55827.30177282175,55827.30177282175
21770.01753490547,21770.01753490547,21770.01753490547,56171.21721285983,56171.21721285983,56171.21721285983
21777.0472083317,21777.0472083317,21777.0472083317,56443.03165941338,56443.03165941338,56443.03165941338
21783.123976349714,21783.123976349714,21783.123976349714,56655.83053179421,56655.83053179421,56655.83053179421
21788.290580776884,21788.290580776884,21788.290580776884,56821.18700328817,56821.18700328817,56821.18700328817
21792.58459062265,21792.58459062265,21792.58459062265,56948.92738852016,56948.92738852016,56948.92738852016
21796.03829981055,21796.03829981055,21796.03829981055,57047.154858304,57047.154858304,57047.154858304
21798.678656669865,21798.678656669865,21798.678656669865,57122.41056106885,57122.41056106885,57122.41056106885
21800.527224403148,21800.527224403148,21800.527224403148,57179.89171934124,57179.89171934124,57179.89171934124
21801.60017193875,21801.60017193875,21801.60017193875,57223.67871857702,57223.67871857702,57223.67871857702
21801.908294805227,21801.908294805227,21801.908294805227,57256.945829264456,57256.945829264456,57256.945829264456
21801.457065907543,21801.457065907543,21801.457065907543,57282.14448644374,57282.14448644374,57282.14448644374
21800.246716333873,21800.246716333873,21800.246716333873,57301.156304102165,57301.156304102165,57301.156304102165
21798.27234656729,21798.27234656729,21798.27234656729,57315.41730940125,57315.41730940125,57315.41730940125
21795.5240687076,21795.5240687076,21795.5240687076,57326.01679741333,57326.01679741333,57326.01679741333
21791.98718051658,21791.98718051658,21791.98718051658,57333.77477376942,57333.77477376942,57333.77477376942
21787.64237227394,21787.64237227394,21787.64237227394,57339.30182084188,57339.30182084188,57339.30182084188
21782.465967563097,21782.465967563097,21782.465967563097,57343.0447746581,57343.0447746581,57343.0447746581
21776.430199186245,21776.430199186245,21776.430199186245,57345.32104543166,57345.32104543166,57345.32104543166
21769.503521429542,21769.503521429542,21769.503521429542,57346.343861951194,57346.343861951194,57346.343861951194
21761.650959854192,21761.650959854192,21761.650959854192,57346.24021727669,57346.24021727669,57346.24021727669
21752.8344996725,21752.8344996725,21752.8344996725,57345.06285598826,57345.06285598826,57345.06285598826
21743.013513574482,21743.013513574482,21743.013513574482,57342.79727069296,57342.79727069296,57342.79727069296
21732.145229597878,21732.145229597878,21732.145229597878,57339.3643589755,57339.3643589755,57339.3643589755
21720.185239280283,21720.185239280283,21720.185239280283,57334.6191199378,57334.6191199378,57334.6191199378
21707.088045897537,21707.088045897537,21707.088045897537,57328.34552996792,57328.34552996792,57328.34552996792
21692.80765207924,21692.80765207924,21692.80765207924,57320.2475192856,57320.2475192856,57320.2475192856
21677.29818550451,21677.29818550451,21677.29818550451,57309.93576445041,57309.93576445041,57309.93576445041
21660.514560724878,21660.514560724878,21660.514560724878,57296.90980959157,57296.90980959157,57296.90980959157
21642.4131744449,21642.4131744449,21642.4131744449,57280.53482525533,57280.53482525533,57280.53482525533
21622.952630824664,21622.952630824664,21622.952630824664,57260.01210645279,57260.01210645279,57260.01210645279
21602.094492563603,21602.094492563603,21602.094492563603,57234.34220363379,57234.34220363379,57234.34220363379
21579.804052696607,21579.804052696607,21579.804052696607,57202.27938231059,57202.27938231059,57202.27938231059
21556.051121196295,21556.051121196295,21556.051121196295,57162.27594082764,57162.27594082764,57162.27594082764
21530.810819646642,21530.810819646642,21530.810819646642,57112.41482078015,57112.41482078015,57112.41482078015
21504.064376451643,21504.064376451643,21504.064376451643,57050.32898657336,57050.32898657336,57050.32898657336
21475.799914286985,21475.799914286985,21475.799914286985,56973.10633359618,56973.10633359618,56973.10633359618
